n,checkSymSeq,matTransposeSeq,checkSymMPI,matTransposeMPI,checkSymOMP,matTransposeOMP
16,4e-06,2e-06,0.000709,0.002718,5e-06,6e-06
32,4e-06,9e-06,0.000337,9.7e-05,1.7e-05,1.9e-05
64,1.7e-05,2.2e-05,9.1e-05,0.000169,6.3e-05,6.8e-05
128,6e-05,7.4e-05,0.000541,0.000302,0.000193,0.000243
256,0.000307,0.000333,0.005247,0.003004,0.000548,0.000428
512,0.001179,0.001264,0.001162,0.007903,0.00092,0.001928
1024,0.004232,0.004594,0.014629,0.029888,0.00389,0.008848
2048,0.020187,0.01786,0.056289,0.148564,0.011982,0.021249
4096,0.131486,0.127713,0.054292,0.485355,0.040539,0.087226
